time,space,speed,v_id
30.0,62.68,8.571903835966275,0
31.0,62.67761891560112,8.571903835966275,0
32.0,62.67482769584172,10.048391133842706,0
33.0,62.67147076581482,12.084948096856632,0
34.0,62.66735642634285,14.811622099090815,0
35.0,62.66242670733009,17.746988445920152,0
36.0,62.65664609345431,20.810209952796043,0
37.0,62.649960920111454,24.0666240343011,0
38.0,62.64256143614563,26.638142276965873,0
39.0,62.6347259791334,28.207645244018767,0
40.0,62.626669076014736,29.0048512272053,0
41.0,62.61857167904025,29.15062910812428,0
42.0,62.61031178664748,29.73561261397621,0
43.0,62.60180225147373,30.634326625501544,0
44.0,62.59294314754875,31.89277412993658,0
45.0,62.58383419106574,32.79224333883719,0
46.0,62.57468169211235,32.948996232203264,0
47.0,62.56585746754459,31.76720844393631,0
48.0,62.5574876089563,30.131490917838725,0
49.0,62.5492371886544,29.701513086830506,0
50.0,62.54060941674987,31.059978856339573,0
51.0,62.5313456996543,33.34938154402209,0
52.0,62.52148866196108,35.485335695613,0
53.0,62.51133012379565,36.57073739553887,0
54.0,62.501690151364336,34.703900752738555,0
55.0,62.49300321682776,31.272964331664312,0
56.0,62.48548768459482,27.055916038580385,0
57.0,62.47887033789804,23.822448108426737,0
58.0,62.47280601481051,21.831563115101478,0
59.0,62.46734599561881,19.656069090119686,0
60.0,62.462429485782295,17.69943541144903,0
61.0,62.457972915712034,16.043652252928894,0
62.0,62.45380670018897,14.99837588304586,0
63.0,62.44982556684928,14.332080022893848,0
64.0,62.4459802599064,13.84310499435791,0
65.0,62.442315789008425,13.192095232691136,0
66.0,62.43887779182786,12.376789850041142,0
67.0,62.43558367894391,11.858806382235528,0
68.0,62.432434586043925,11.3367344399249,0
69.0,62.429477659016435,10.644937298974119,0
70.0,62.426746305303475,9.83287336665572,0
71.0,62.42419840341483,9.172446799129819,0
72.0,62.42181343309916,8.58589313640887,0
73.0,62.41948927395304,8.366972926034586,0
74.0,62.417087321983665,8.647027089739606,0
75.0,62.41457965174419,9.027612862115067,0
76.0,62.41191214209103,9.603034751356962,0
77.0,62.409038008159825,10.346882152341486,0
78.0,62.40594440536841,11.136970049123434,0
79.0,62.40266829178783,11.794008890063017,0
80.0,62.39928920328794,12.164718599611914,0
81.0,62.39564553539034,13.117204431380037,0
82.0,62.39172669005871,14.107843193842841,0
83.0,62.38742458143227,15.487591055183895,0
84.0,62.382667848379825,17.124238988799124,0
85.0,62.37734391613039,19.166156097974607,0
86.0,62.371439365713215,21.256381501840647,0
87.0,62.3648883965164,23.58348910853179,0
88.0,62.35799628130414,24.811614764127107,0
89.0,62.35077645957084,25.99135823988917,0
90.0,62.343185679969615,27.326806564408507,0
91.0,62.335320241763874,28.315577540664222,0
92.0,62.32749698503246,28.16372423307408,0
93.0,62.319994523227905,27.00886249639978,0
94.0,62.312421423672006,27.263158401246013,0
95.0,62.304020569703034,30.243074288301322,0
96.0,62.294425324117604,34.542884107537716,0
97.0,62.28354579601601,39.16630116576716,0
98.0,62.27132822519603,43.98325495190486,0
99.0,62.257233706218784,50.74026831809917,0
100.0,62.2408763533563,58.886470304937504,0
101.0,62.22294000362582,64.5708590297057,0
102.0,62.204798405733484,65.30975241242437,0
103.0,62.18762809535316,61.81311736915073,0
104.0,62.17178076814624,57.050377944933814,0
105.0,62.15696592443088,53.33343737529391,0
106.0,62.1425163407522,52.01850124322665,0
107.0,62.12835646924538,50.97553742455204,0
108.0,62.11424474541907,50.80220577473749,0
109.0,62.10024008703757,50.41677017339875,0
110.0,62.08658948803259,49.142156417934586,0
111.0,62.07346475724817,47.24903082391455,0
112.0,62.061026783276915,44.77670629650116,0
113.0,62.049185265874605,42.62946264831258,0
114.0,62.03805313389022,40.075675143789304,0
115.0,62.027281137786325,38.779185974024266,0
116.0,62.016639691295374,38.30920736742454,0
117.0,62.005509392501146,40.06907565921694,0
118.0,61.993141127571754,44.52575374582828,0
119.0,61.979713350424106,48.339997731519,0
120.0,61.96539871660697,51.53268174169143,0
121.0,61.95032047766486,54.281660191585516,0
122.0,61.93561468674827,52.94084729971764,0
123.0,61.92190097692187,49.36935537506008,0
124.0,61.90897260570058,46.54213639662343,0
125.0,61.896567638924054,44.657880395504684,0
126.0,61.88448682954,43.49091378258746,0
127.0,61.87245166933555,43.32657673605612,0
128.0,61.8601174955522,44.40302562002941,0
129.0,61.847463468660195,45.554496811236966,0
130.0,61.834772889652974,45.686084425985015,0
131.0,61.822245558959786,45.0983904954722,0
132.0,61.80986136454916,44.58309987827302,0
133.0,61.79796697469534,42.81980347372218,0
134.0,61.78663204102664,40.805761207320856,0
135.0,61.7759970171381,38.28608599875751,0
136.0,61.76594210838195,36.19767152213575,0
137.0,61.75635781118837,34.50346989688548,0
138.0,61.74717777014494,33.04814775637564,0
139.0,61.7384216802624,31.521923577133236,0
140.0,61.729883474447306,30.737540934335854,0
141.0,61.7212573981819,31.053874555465786,0
142.0,61.7124106565423,31.848269902543247,0
143.0,61.70346003490523,32.22223789346116,0
144.0,61.69428374398147,33.03464732552134,0
145.0,61.68459911466067,34.86466555490118,0
146.0,61.674060234357945,37.93996908979575,0
147.0,61.66258922564926,41.295631351260056,0
148.0,61.65043291298287,43.76272559901097,0
149.0,61.638520223261004,42.8856829987193,0
150.0,61.62697993062018,41.54505350696407,0
151.0,61.615393298012165,41.71187738885283,0
152.0,61.60424799327366,40.12309705862826,0
153.0,61.59426469536659,35.93987246544001,0
154.0,61.58518510039931,32.68654188223523,0
155.0,61.57676795762812,30.30171397627015,0
156.0,61.569107946214764,27.576041088067946,0
